Store;Alamat;Kota;Jam Operational;Email
Online Shop;Central Park Jl. S. Parman Kav. 28 Lt. Lg Unit L 119-120;Jakarta Barat;08.00 - 21'00 WIB;onlineshop@chateraise.co.id
Senayan City;Senayan City Jl. Asia Afrika Lot. 19 Lt. Lg Unit L-16;Jakarta Pusat;10.00 - 22.00 WIB;Sency@chateraise.co.id
Central Park;Central Park Jl. S. Parman Kav. 28 Lt. Lg Unit L 119-120;Jakarta Barat;10.00 - 22.00 WIB;CentralPark@chateraise.co.id
Mall Kelapa Gading 3;Ground Floor, Mall Kelapa Gading 3, Jl. Boulevard Raya No. 1 Kelapa Gading Unit Fhkg-Ss 18A;Jakarta Utara;10.00 - 22.00 WIB;MKG@chateraise.co.id
Pondok Indah Mall 1;Pondok Indah Mall I Jl. Metro Pondok Indah Lt. 2 Unit 6 Area 51;Jakarta Selatan;10.00 - 22.00 WIB;pim@chateraise.co.id
Grand Indonesia;3A floor East Mall, Grand indonesia shopping Town, Jl. M.H. Thamrin, RT.1/RW.5, Menteng, Central Jakarta City, Jakarta 10310;Jakarta Pusat;10.00 - 22.00 WIB;Grandindonesia@chateraise.co.id
AEON Jakarta Garden City;Aeon Mall Jakarta Garden City Jl. Jkt Garden City Boulevard No. 1;Jakarta Timur;10.00 - 22.00 WIB;JGC@chateraise.co.id
Pacific Place - Kem Chicks;Pacific Place Mall -Kem Chicks Level LG Jalan Jendral Sudirman No.52, RT.5/RW.3, Senayan, Kebayoran Baru, South Jakarta City, Jakarta 12190;Jakarta Selatan;09.00 - 22.00 WIB;putriayunabilahn@gmail.com
AEON BSD City;Aeon Mall Bsd Jl. Bsd Raya Utama Unit Gf-48, kab. Tangerang;Kabupaten Tangerang;10.00 - 22.00 WIB;aeonbsd@chateraise.co.id
Kota Kasablanka;Kota Kasablanka Lt. Lg/Iv-L17 Jl. Casablanca Kav. 88;Jakarta Selatan;10.00 - 22.00 WIB;chateraisekokas@chateraise.co.id
Pantai Indah Kapuk Kemchick;Kemchick Pantai Indah Kapuk Orchestra Boulevard Golf Island , Penjaringan Kamal Muara Jakarta Utara 14470;Jakarta Utara;08.00 - 22.00 WIB;pik@chateraise.co.id
Summarecon Mall Serpong;Summarecon Mall Serpong Downtown Ground Floor Dgf 210-A Jl. Boulevard Raya Gading Serpong, Kab. Tangerang;Kabupaten Tangerang;10.00 - 00.00 WIB;sms@chateraise.co.id
Gandaria City;Gandaria City Mall Unit L-958 Lg Floor Jl. Sultan Iskandar Muda;Jakarta Selatan;10.00 - 22.00 WIB;chateraisegancit@chateraise.co.id
Summarecon Mall Bekasi (SMB);Summarecon Mall Bekasi Downtown Walk Unit 118 Jl. Boulevard Ahmad Yani, Kota Bekasi;Bekasi;10.00 - 22.00 WIB;chateraisesmb@chateraise.co.id
Cilandak Town Square (Citos);Cilandak Town Square Unit 12 Ground Floor Jl. Tb. Simatupang Kav. 17;Jakarta Selatan;10.00 - 22.00 WIB;chateraisecitos@chateraise.co.id
Pantai Indah Kapuk Avenue;Pik Avenue Lt. 2 Unit 2F-A9 Jl. Pantai Indah Kapuk St. Boulevard;Jakarta Utara;10.00 - 22.00 WIB;pik.avenue@chateraise.co.id
